sample_name,species,split,T(degrees),t(day),delta_L(mm),delta_R(mm),delta_T(mm),volume(mm^3)_change_rate(%),weight(g)_change_rate(%),density(g/cm^3)_change_rate(%),EMC(%),delta_EMC(%),L*,a*,b*,delta_E*ab
A515,Cinnamomun camphora,train,120,32.0,0.032911960286653,-0.0864512170199511,-0.3980404164115094,-0.4513511076334959,-2.4078797903505333,-1.9653995352889853,8.106369618598857,-14.016396861459429,68.04,8.49,24.81,5.434528498407197
A516,Cinnamomun camphora,not assigned,120,32.0,0.0672463489398141,-0.3289837967072124,-0.4278292757461708,-0.6885588296285877,-4.335268012224768,-3.671993014722408,7.953683076697099,-15.6359305912508,52.99,10.88,24.37,15.29134722645457
A516,Cinnamomun camphora,not assigned,120,32.0,0.0672463489398141,-0.3289837967072124,-0.4278292757461708,-0.6885588296285877,-4.335268012224768,-3.671993014722408,7.953683076697099,-15.6359305912508,51.78,12.17,24.61,15.13641304933239
A517,Cinnamomun camphora,test,120,32.0,-0.0261740587300123,-0.1591686773052984,-0.5625000000000029,-0.7469415699982799,-3.788107245422017,-3.0640523561986948,7.548052348850871,-19.9384227258194,53.79,10.83,25.57,15.655139731091513
A517,Cinnamomun camphora,test,120,32.0,-0.0261740587300123,-0.1591686773052984,-0.5625000000000029,-0.7469415699982799,-3.788107245422017,-3.0640523561986948,7.548052348850871,-19.9384227258194,55.02,11.67,25.5,13.136685274451846
A518,Cinnamomun camphora,val,120,32.0,0.0326570624063359,-0.2110739882856713,-0.6201077564298053,-0.7970317907025577,-2.6895037506343096,-1.9076767500938512,7.83663775299462,-16.877420818807863,55.44,9.76,23.77,12.403656718887387
A518,Cinnamomun camphora,val,120,32.0,0.0326570624063359,-0.2110739882856713,-0.6201077564298053,-0.7970317907025577,-2.6895037506343096,-1.9076767500938512,7.83663775299462,-16.877420818807863,60.09,10.49,25.76,11.707958831495777
A519,Cinnamomun camphora,not assigned,120,32.0,0.0628037473338512,-0.7420589452557835,-0.6598076492954714,-1.337829683462145,-3.3677408613675,-2.057436169701917,7.65884360883634,-18.763268843377016,53.48,10.68,23.91,12.546672865744137
A519,Cinnamomun camphora,not assigned,120,32.0,0.0628037473338512,-0.7420589452557835,-0.6598076492954714,-1.337829683462145,-3.3677408613675,-2.057436169701917,7.65884360883634,-18.763268843377016,53.31,12.76,26.92,15.47610093014387
A520,Cinnamomun camphora,not assigned,120,64.0,-0.1170028452936934,-0.6134506695465727,-1.102457772833031,-1.8240246837296767,-5.791780217942431,-4.041472999306376,7.17666092415446,-23.87774135704571,53.96,11.13,23.96,15.513303967885118
A520,Cinnamomun camphora,not assigned,120,64.0,-0.1170028452936934,-0.6134506695465727,-1.102457772833031,-1.8240246837296767,-5.791780217942431,-4.041472999306376,7.17666092415446,-23.87774135704571,45.91,13.34,22.25,21.9270358233848
A521,Cinnamomun camphora,train,120,64.0,0.0859768605169288,-0.3495408864021728,-1.1160483620956965,-1.3769215344024903,-4.993543436763119,-3.667115201258104,6.756031379424115,-28.33932472223776,49.12,11.94,23.43,19.010452388094297
A521,Cinnamomun camphora,train,120,64.0,0.0859768605169288,-0.3495408864021728,-1.1160483620956965,-1.3769215344024903,-4.993543436763119,-3.667115201258104,6.756031379424115,-28.33932472223776,49.82,13.23,24.75,19.522410199562966
A522,Cinnamomun camphora,test,120,64.0,0.07894996545939,-0.3817963189855844,-1.0077120822622363,-1.3077972799781965,-4.541221768142922,-3.276271477431268,7.167732315701684,-23.97244638061402,49.94,12.29,23.67,18.216522719772836
A522,Cinnamomun camphora,test,120,64.0,0.07894996545939,-0.3817963189855844,-1.0077120822622363,-1.3077972799781965,-4.541221768142922,-3.276271477431268,7.167732315701684,-23.97244638061402,51.8,12.71,26.11,17.37440358688609
A523,Cinnamomun camphora,val,120,64.0,0.067395455045696,-0.4977756254143108,-0.9708737864077552,-1.3974020690262794,-5.668154144891596,-4.331277436376508,7.259924624209031,-22.994570063583744,49.62,11.86,23.49,18.77503395469633
A523,Cinnamomun camphora,val,120,64.0,0.067395455045696,-0.4977756254143108,-0.9708737864077552,-1.3974020690262794,-5.668154144891596,-4.331277436376508,7.259924624209031,-22.994570063583744,49.75,13.3,25.69,20.30668116655206
A524,Cinnamomun camphora,not assigned,120,64.0,0.0443278548126407,-0.4701988104870551,-1.0982179859096548,-1.5195933173036358,-5.5595114658938165,-4.102255752869509,7.263796539621515,-22.953500971761287,51.84,11.33,24.05,16.925238550756077
A524,Cinnamomun camphora,not assigned,120,64.0,0.0443278548126407,-0.4701988104870551,-1.0982179859096548,-1.5195933173036358,-5.5595114658938165,-4.102255752869509,7.263796539621515,-22.953500971761287,48.26,13.33,23.92,21.614090311646244
A525,Cinnamomun camphora,train,120,128.0,0.0724566199306611,-0.5833467583798562,-1.822512167339755,-2.3244836361029684,-8.305901771563084,-6.123764028209412,6.238461735150491,-33.82914383777311,43.63,12.34,19.59,23.923588777606092
A525,Cinnamomun camphora,train,120,128.0,0.0724566199306611,-0.5833467583798562,-1.822512167339755,-2.3244836361029684,-8.305901771563084,-6.123764028209412,6.238461735150491,-33.82914383777311,47.95,12.91,23.16,23.911459595767045
A526,Cinnamomun camphora,test,120,128.0,-0.0163996328085763,-0.6691891443758572,-1.756391602577432,-2.429864747134009,-7.397405037280583,-5.091250798487193,6.391724254527772,-32.20350076175127,60.86,10.2,25.38,11.962683645403322
A526,Cinnamomun camphora,test,120,128.0,-0.0163996328085763,-0.6691891443758572,-1.756391602577432,-2.429864747134009,-7.397405037280583,-5.091250798487193,6.391724254527772,-32.20350076175127,47.7,12.98,24.68,20.44480618641321
A527,Cinnamomun camphora,not assigned,120,128.0,0.021502706295347,-0.5344749922786902,-2.2042239081402486,-2.7060774013746403,-8.03728049039072,-5.479482116277014,6.21076350678613,-34.122936692944386,52.17,11.2,22.6,19.783179724200046
A527,Cinnamomun camphora,not assigned,120,128.0,0.021502706295347,-0.5344749922786902,-2.2042239081402486,-2.7060774013746403,-8.03728049039072,-5.479482116277014,6.21076350678613,-34.122936692944386,48.54,13.09,23.5,23.294057182036795
A528,Cinnamomun camphora,not assigned,120,128.0,0.1020084354999519,-0.732695427471221,-1.8596962496125424,-2.479408152094665,-7.661114378402988,-5.313448296529817,6.630506803087978,-29.670753692742245,39.74,11.09,18.16,21.13844365131927
A528,Cinnamomun camphora,not assigned,120,128.0,0.1020084354999519,-0.732695427471221,-1.8596962496125424,-2.479408152094665,-7.661114378402988,-5.313448296529817,6.630506803087978,-29.670753692742245,46.38,12.94,22.22,21.998320390429814
A529,Cinnamomun camphora,val,120,128.0,-0.1329049048188843,-0.9742314351743198,-1.5645805592543476,-2.65322311776633,-8.267936939548742,-5.767744964555817,6.184578331635068,-34.40068071576027,49.69,11.93,23.67,18.823240953672144
A529,Cinnamomun camphora,val,120,128.0,-0.1329049048188843,-0.9742314351743198,-1.5645805592543476,-2.65322311776633,-8.267936939548742,-5.767744964555817,6.184578331635068,-34.40068071576027,45.9,13.56,23.74,24.073691033989782
A530,Cinnamomun camphora,train,120,256.0,0.0805637834943915,-0.964115528348458,-3.2641267123287645,-4.119496341619033,-13.45918647069987,-9.740968990273393,5.977059106608755,-36.601820255134506,39.06,10.84,15.05,29.243170142787182
A530,Cinnamomun camphora,train,120,256.0,0.0805637834943915,-0.964115528348458,-3.2641267123287645,-4.119496341619033,-13.45918647069987,-9.740968990273393,5.977059106608755,-36.601820255134506,44.16,12.7,19.77,26.5330360117345
A531,Cinnamomun camphora,not assigned,120,256.0,0.090239651416122,-1.4104085438209863,-3.011164993797239,-4.292807688373021,-13.12030693340641,-9.223443956323212,6.088498031694753,-35.41979664165459,38.99,10.91,15.33,28.23899608697164
A531,Cinnamomun camphora,not assigned,120,256.0,0.090239651416122,-1.4104085438209863,-3.011164993797239,-4.292807688373021,-13.12030693340641,-9.223443956323212,6.088498031694753,-35.41979664165459,43.44,13.14,19.97,24.726849779136852
A532,Cinnamomun camphora,val,120,256.0,0.0296313514206086,-1.1590062446861351,-3.624020887728455,-4.712764583407323,-13.298990335507192,-9.01088767510272,6.100786741508131,-35.28945129627904,37.23,10.68,16.63,25.685733394240476
A532,Cinnamomun camphora,val,120,256.0,0.0296313514206086,-1.1590062446861351,-3.624020887728455,-4.712764583407323,-13.298990335507192,-9.01088767510272,6.100786741508131,-35.28945129627904,45.85,12.72,20.86,24.258320222142345
A533,Cinnamomun camphora,test,120,256.0,0.0476863880027626,-1.050245488138572,-3.21268384270366,-4.183517820233227,-13.497369760733068,-9.720511261335592,5.844767285445247,-38.005028841046965,39.51,11.29,15.52,28.41365340817685
A533,Cinnamomun camphora,test,120,256.0,0.0476863880027626,-1.050245488138572,-3.21268384270366,-4.183517820233227,-13.497369760733068,-9.720511261335592,5.844767285445247,-38.005028841046965,46.29,13.17,22.25,24.004512075857743
A534,Cinnamomun camphora,not assigned,120,256.0,0.0855775494749332,-0.9818048870187888,-3.1163221228015767,-3.985255385042886,-12.800174435507316,-9.180797267976326,5.95566866522562,-36.828706926897645,41.87,12.56,19.33,28.18717438836323
A534,Cinnamomun camphora,not assigned,120,256.0,0.0855775494749332,-0.9818048870187888,-3.1163221228015767,-3.985255385042886,-12.800174435507316,-9.180797267976326,5.95566866522562,-36.828706926897645,44.72,12.84,20.05,23.98810330142839
A535,Cinnamomun camphora,train,120,512.0,-0.0181541976553715,-2.1335487710352368,-5.713400144643031,-7.741875701710824,-22.43584338196025,-15.927017584642048,5.918946669082568,-37.218214152866565,39.9,10.04,15.08,29.619375415426983
A535,Cinnamomun camphora,train,120,512.0,-0.0181541976553715,-2.1335487710352368,-5.713400144643031,-7.741875701710824,-22.43584338196025,-15.927017584642048,5.918946669082568,-37.218214152866565,42.77,12.57,20.39,24.923793852461547
A536,Cinnamomun camphora,val,120,512.0,-0.0742234020682919,-2.594813138222076,-5.438723712835392,-7.96091846293197,-21.73059892798882,-14.960688693434232,5.895418842711415,-37.4677718933338,40.21,11.3,16.85,29.712027867515193
A536,Cinnamomun camphora,val,120,512.0,-0.0742234020682919,-2.594813138222076,-5.438723712835392,-7.96091846293197,-21.73059892798882,-14.960688693434232,5.895418842711415,-37.4677718933338,41.46,12.09,19.21,26.72927421386522
A537,Cinnamomun camphora,test,120,512.0,-0.0329513720015719,-2.032695782972369,-5.719309132278424,-7.666195073822594,-21.46299603404689,-14.942307393543558,5.821727677569475,-38.24940808764742,37.55,9.4,14.16,30.335986880271424
A537,Cinnamomun camphora,test,120,512.0,-0.0329513720015719,-2.032695782972369,-5.719309132278424,-7.666195073822594,-21.46299603404689,-14.942307393543558,5.821727677569475,-38.24940808764742,42.07,12.1,18.77,28.483054611470305
A538,Cinnamomun camphora,not assigned,120,512.0,-0.024887242282543,-2.143276097172252,-5.35732754162789,-7.408663329465942,-21.177411522751296,-14.870449750907502,5.758893519357375,-38.9158848926105,37.95,11.21,15.55,32.12515213971757
A538,Cinnamomun camphora,not assigned,120,512.0,-0.024887242282543,-2.143276097172252,-5.35732754162789,-7.408663329465942,-21.177411522751296,-14.870449750907502,5.758893519357375,-38.9158848926105,41.4,12.58,18.93,28.24932388571451
A539,Cinnamomun camphora,not assigned,120,512.0,-0.0804860799668669,-2.368797810544039,-5.104431991849222,-7.426866088277661,-18.773810243695955,-12.2572756003256,6.31031370103948,-33.06701588032739,42.88,10.98,17.54,27.95892701803844
A539,Cinnamomun camphora,not assigned,120,512.0,-0.0804860799668669,-2.368797810544039,-5.104431991849222,-7.426866088277661,-18.773810243695955,-12.2572756003256,6.31031370103948,-33.06701588032739,42.44,10.85,17.39,27.30746967406537
A540,Cinnamomun camphora,train,160,0.125,0.0197252719132037,-0.1406322560631772,-0.5013927576601663,-0.6217145619665432,-1.3388005137832182,-0.7215720704537436,8.02363426969105,-14.893963977285956,63.82,7.99,26.01,5.407013963362769
A541,Cinnamomun camphora,val,160,0.125,0.0098741639293146,-0.0642082362304951,-0.2167853824713432,-0.2710115089378426,-1.3557145562633084,-1.08765070591552,7.860233381408162,-16.627143907592316,62.07,8.26,25.86,6.77383938398306
A542,Cinnamomun camphora,not assigned,160,0.125,0.0165081890331188,-0.0469048916632162,-0.4968429769175221,-0.5270609412438736,-1.3299017545596254,-0.8070946942077812,8.004193461009852,-15.100171053570904,63.47,8.62,25.37,4.691907927485361
A543,Cinnamomun camphora,test,160,0.125,0.0148289721628555,-0.1190961342338943,-0.3408386696963383,-0.444751112164132,-1.3159124469616137,-0.8750531433847124,7.960981153518327,-15.55852048406406,64.56,7.93,26.3,6.390625947432692
A544,Cinnamomun camphora,not assigned,160,0.125,0.0230567634586494,-0.0337942514152085,-0.4350978970268108,-0.4458018310425659,-1.533177454044499,-1.092244870634706,7.850919144764701,-16.725939258010627,64.5,8.1,25.13,5.459056695071046
A545,Cinnamomun camphora,train,160,0.25,0.0313949700645864,-0.1555107336077396,-0.5731245522464531,-0.6965823295478929,-1.7169367747098774,-1.0275119115720046,8.070063829336048,-14.401489414905614,58.45,9.53,27.08,9.41102544890832
A546,Cinnamomun camphora,not assigned,160,0.25,0.0132188984635078,-0.099079730763759,-0.51727705358991,-0.6026790088623323,-1.5564841428951055,-0.9595883717206168,8.19891747594254,-13.034749266843948,63.41,8.04,25.54,7.84857948930888
A547,Cinnamomun camphora,val,160,0.25,-0.0312840260980093,-0.0763095000030833,-0.4225777241171126,-0.5296987098798379,-1.3953714723071462,-0.8702826383348653,8.003894489835284,-15.103342216499977,70.68,6.89,21.71,2.9513047961876113
A548,Cinnamomun camphora,test,160,0.25,0.0033281881480147,-0.1213004016652593,-0.4517453798767834,-0.5692236456730566,-1.4232135899999383,-0.8588788860338753,8.000685691429325,-15.137377680174929,61.04,8.45,25.43,7.167133318140519
A549,Cinnamomun camphora,not assigned,160,0.25,0.0196584150403036,-0.1448594872303339,-0.4119888763003311,-0.5366361606899819,-1.531005770892771,-0.99973454729448,8.115211657064124,-13.922610078706644,58.33,9.22,25.36,7.195394360283526
A550,Cinnamomun camphora,train,160,0.5,-0.029517263154341,-0.0523453928830705,-0.5466171617161618,-0.627991925120486,-1.72445524933766,-1.1033925402724505,7.666913461957231,-18.677672567759256,57.43,9.63,25.39,10.594564644193735
A551,Cinnamomun camphora,not assigned,160,0.5,-0.10355495160722,-0.1116947781412775,-0.962128966223126,-1.1753174446308672,-2.0683746736292417,-0.903678317912134,7.909602166215371,-16.103493223005255,57.91,9.72,26.74,12.214827055672956
A552,Cinnamomun camphora,test,160,0.5,0.0476987749631225,-0.0371525218551062,-0.5246913580246747,-0.514239835035766,-2.200981126423,-1.695460022208541,7.501555544919353,-20.43161054287692,58.64,9.03,24.6,10.065853168013131
A553,Cinnamomun camphora,val,160,0.5,0.0624930725533881,-0.0233129246285676,-0.6511627906976807,-0.6122772670495303,-1.875098406882036,-1.2706007393142815,7.712281008854458,-18.196462688205976,56.97,9.93,24.42,12.353675566405322
A554,Cinnamomun camphora,not assigned,160,0.5,0.0246994895438827,-0.0470683242727209,-0.2894056847545267,-0.3116655185254166,-1.809690321653541,-1.5027082265142104,8.120027123671267,-13.87153281611483,57.3,9.74,24.08,10.921455946896458
A555,Cinnamomun camphora,train,160,1.0,0.0428175006029393,-0.3128750593865235,-0.6462201251410282,-0.9145621098576436,-2.560131781582311,-1.6607583382223667,7.507539237051215,-20.368142007172743,51.11,10.96,22.63,14.72992532228185
A556,Cinnamomun camphora,not assigned,160,1.0,-0.1809113793369306,-0.1332506278044894,-0.5040115202633333,-0.8164870362374477,-3.0267488933449385,-2.228456918958939,7.211482189536117,-23.508395027649527,56.4,9.98,23.07,12.263417142053024
A557,Cinnamomun camphora,test,160,1.0,0.0082459721565461,-0.1625173474070623,-0.415239281636034,-0.568881419350682,-2.6224573565629896,-2.0653251884586097,7.245562268746197,-23.146910399684085,54.43,10.45,23.97,14.446522072803537
A558,Cinnamomun camphora,val,160,1.0,0.0329124034290164,-0.1648500961580676,-0.4114379757251507,-0.5428536501395893,-2.443606313210182,-1.9111272873085672,7.600628419741062,-19.38075261864418,55.57,9.92,24.1,12.474393772845236
A559,Cinnamomun camphora,not assigned,160,1.0,0.0510723388092354,-0.2652044701989444,-0.4940813175501805,-0.7074124921097757,-2.35990435379626,-1.664265080769657,7.723157348541044,-18.081098237877217,54.42,10.67,23.58,13.34580833070819
A560,Cinnamomun camphora,train,160,2.0,0.0361946611134872,-0.5210062141369656,-0.9762614325352036,-1.4565237863934948,-4.443890620722914,-3.0315216685211195,6.902080500756787,-26.7901935725072,48.87,11.63,22.02,21.185478517135273
A561,Cinnamomun camphora,val,160,2.0,0.0608962475886605,-0.6388146935705482,-1.0225375626043298,-1.595016062144524,-4.556848965903673,-3.009840340637207,6.9510596315898665,-26.270675915927644,47.66,11.19,20.27,19.59355506282615
A562,Cinnamomun camphora,not assigned,160,2.0,0.0229995749809504,-0.5460475536527326,-0.9198015708970692,-1.4380941181188969,-4.504244264980794,-3.1108876390199325,7.017354329075426,-25.567493452385698,47.88,11.77,21.42,21.473302028332757
A563,Cinnamomun camphora,test,160,2.0,0.0197205790514518,-0.3494221433882033,-1.0169139773788602,-1.3432856189952542,-4.532724127053922,-3.232865120301184,6.754943679599487,-28.35086186579956,49.04,11.07,22.32,17.875508384378897
A564,Cinnamomun camphora,not assigned,160,2.0,0.0443913640111715,-0.5129936218765704,-1.2046941530792363,-1.667861169366323,-4.513229364523983,-2.893629925062966,6.97662244751066,-25.99953320684192,46.45,11.1,19.98,19.77479456277612
A565,Cinnamomun camphora,train,160,4.0,0.0872529359816937,-0.6405042164863795,-1.370143149284239,-1.916350472349979,-6.046021774005901,-4.2103564881033,6.515467500868964,-30.890966213602358,43.37,11.46,17.36,25.666994370202367
A566,Cinnamomun camphora,not assigned,160,4.0,0.0625246807950506,-0.4058292872554743,-1.544441035082334,-1.882821387857899,-6.120834343258813,-4.319338382276368,6.029842312170266,-36.0419530873498,49.42,11.41,21.84,21.809773038709043
A567,Cinnamomun camphora,test,160,4.0,0.0707103815196393,-0.4814310125898308,-1.4256198347107427,-1.830849335825365,-5.823883388075094,-4.067503920767775,6.456934254540279,-31.51182359607217,49.4,11.53,21.49,20.682393478512108
A568,Cinnamomun camphora,val,160,4.0,0.0772884244066058,-0.6978516224648983,-1.4785357397777057,-2.090455207269493,-6.35947240303798,-4.360164481211486,6.38560663485976,-32.268389855937166,44.1,11.76,18.29,25.805853987031696
A569,Cinnamomun camphora,not assigned,160,4.0,0.0691665586406473,-0.7828689088641103,-1.3402597402597356,-2.0449274692342523,-6.602965645492816,-4.653192589722177,6.3750725928643,-32.38012358250006,42.56,10.93,17.04,25.25051286607858
A570,Cinnamomun camphora,not assigned,160,8.0,-0.1403662272930798,-1.7820209104613418,-2.7021556522619115,-4.569699675420255,-11.179239487667788,-6.926038993660301,5.871902273287252,-37.71721023227998,37.16,9.0,11.37,30.068942448978813
A571,Cinnamomun camphora,test,160,8.0,-0.0805079906918094,-1.2176090072474426,-3.159946650251358,-4.41634162594385,-12.00640542577243,-7.940754652982318,5.521121031108832,-41.43791833405623,41.55,9.99,15.48,26.963356615970497
A572,Cinnamomun camphora,train,160,8.0,0.0756666798063843,-1.1711022453663285,-3.153432588916457,-4.215203773602482,-12.513070084564038,-8.663030708285557,5.5263650683497945,-41.38229525761321,42.48,11.13,17.85,27.714822748846878
A573,Cinnamomun camphora,val,160,8.0,0.0527913430818829,-1.317153082201709,-3.021523178807945,-4.248348247923214,-12.7078573836186,-8.83484407934707,5.516912202420857,-41.48256103758589,40.34,9.45,14.59,28.62360214927533
A574,Cinnamomun camphora,not assigned,160,8.0,0.0312267563478329,-1.2191383512846383,-3.1955865514728705,-4.3458526672726,-11.972270431543842,-7.972908626474073,5.715361696000352,-39.37762340189824,40.01,9.38,14.05,29.11516786831221
A575,Cinnamomun camphora,val,160,16.0,-0.0262455887320845,-3.1452900538087443,-4.776337792642147,-7.795734557622137,-19.655139050727964,-12.862099639541333,6.067174533364747,-35.645973253898624,36.63,7.98,11.35,31.390364763729647
A576,Cinnamomun camphora,not assigned,160,16.0,-0.0638794690738858,-3.359878337319877,-4.708939708939703,-7.969643191822649,-19.258052264680305,-12.2659625197222,5.966759731326369,-36.71106489096061,36.18,8.39,10.34,34.186718181188425
